"Статус","Количество"
"Active","33"
"Superseded","23"
"Withdrawn","61"
"Final","315"
"Deferred","35"
"Rejected","124"
"Draft","33"
"Accepted","22"
"Provisional","2"
"April Fool!","1"
"Total","649"
