"Статус","Количество"
"Active","33"
"Final","315"
"Rejected","124"
"Superseded","23"
"Withdrawn","61"
"Accepted","22"
"Deferred","34"
"Draft","34"
"Provisional","2"
"April Fool!","1"
"Total","649"
